Sample (1000 Ep),Avg Reward (1000 Ep), Overall Avg Reward
104.0,21.293159999999983,13.324531014124744
105.0,20.49234,13.392795211474057
106.0,23.345560000000003,13.486688333128818
107.0,20.385119999999997,13.551159054588167
108.0,21.865509999999993,13.628143072749195
109.0,23.98816999999997,13.723188319373097
110.0,25.130350000000046,13.826888846464907
111.0,18.282480000000028,13.867028945685048
112.0,20.416099999999986,13.92550227230101
113.0,22.654350000000015,14.00274802877837
114.0,22.48709000000002,14.077171428320652
115.0,19.53808000000002,14.12465717689398
116.0,21.42932000000002,14.18762786527688
117.0,23.112920000000024,14.26391176143781
118.0,23.798230000000014,14.344710383810177
119.0,21.81889,14.407518088083156
120.0,23.729549999999957,14.485201039991212
121.0,23.20647,14.557277047297013
122.0,24.221749999999975,14.636493389398318
123.0,21.85116999999999,14.695148819928166
124.0,19.90778999999998,14.73718590979095
125.0,17.32540999999999,14.7578915368676
126.0,24.09382999999998,14.831985698526095
127.0,18.970989999999983,14.864576026960291
128.0,20.70817999999998,14.91022882633715
129.0,23.67567999999999,14.978177533507345
130.0,23.427839999999964,15.04317443711957
131.0,21.381799999999977,15.09156052243859
132.0,22.508709999999994,15.14775062310116
133.0,21.63956000000002,15.19656085292573
134.0,20.75263,15.238023746091255
135.0,24.042899999999985,15.303244568558576
136.0,23.459189999999953,15.363214314600436
137.0,23.50779999999996,15.42266341121576
138.0,22.5734,15.474479967536292
139.0,22.766879999999993,15.526942899691187
140.0,22.03967,15.573462046699488
141.0,21.667450000000045,15.616681512896909
142.0,21.585129999999964,15.65871254427764
143.0,22.6941,15.707910713910906
144.0,21.67185000000003,15.749326671342418
145.0,21.802380000000035,15.791071578816533
146.0,24.935790000000033,15.853706207491642
147.0,21.612760000000005,15.892883177665377
148.0,22.636490000000023,15.938447780758182
149.0,21.69359000000001,15.977072637096313
150.0,22.512950000000004,16.020644862367533
151.0,23.42373999999998,16.069671657803504
152.0,23.206799999999973,16.116626140617388
153.0,22.080070000000003,16.155602643119884
154.0,25.15570000000001,16.214044454256705
155.0,24.579290000000015,16.26801343217134
156.0,23.674909999999993,16.31549323401765
157.0,21.2938,16.347201992343912
158.0,22.640690000000046,16.38703394282309
159.0,23.801260000000013,16.433664002113122
160.0,24.919140000000034,16.486697895638088
161.0,21.92585000000002,16.5204812392469
162.0,21.465150000000012,16.55100369750795
163.0,23.26014,16.59216379040613
164.0,20.15114999999999,16.61386479350729
165.0,24.883869999999977,16.6639857334197
166.0,23.09643999999997,16.702735224486442
167.0,23.842290000000002,16.745486793492137
168.0,20.582319999999996,16.76832495044663
169.0,18.92326000000002,16.781075969964597
170.0,17.29157999999999,16.7840789171828
171.0,20.36441000000001,16.805016403412846
172.0,20.204880000000013,16.824782937308438
173.0,20.37237999999997,16.845289160178186
174.0,21.461199999999984,16.871817230935385
175.0,20.84370000000001,16.894513574208045
176.0,21.700639999999986,16.921820955562648
177.0,20.57237000000005,16.94244540991284
178.0,19.62887000000002,16.95753759810329
179.0,17.265160000000005,16.9592561494069
180.0,19.414700000000014,16.972897428347565
181.0,22.486209999999968,17.003357550510685
182.0,19.880160000000014,17.01916407052701
183.0,23.149189999999958,17.05266129693268
184.0,20.416410000000013,17.070942440530082
185.0,20.32578999999999,17.088536116020897
186.0,21.964119999999962,17.114748791673033
187.0,19.496080000000017,17.127483115063416
188.0,20.44709999999999,17.145140557762858
